drummer,session,id,style,bpm,beat_type,time_signature,midi_filename,audio_filename,duration,split
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,drummer1/eval_session/1_funk-groove1_138_beat_4-4.mid,drummer1/eval_session/1_funk-groove1_138_beat_4-4.wav,27.872308,test
drummer1,drummer1/eval_session,drummer1/eval_session/10,soul/groove10,102,beat,4-4,drummer1/eval_session/10_soul-groove10_102_beat_4-4.mid,drummer1/eval_session/10_soul-groove10_102_beat_4-4.wav,37.691158,test
drummer1,drummer1/eval_session,drummer1/eval_session/2,funk/groove2,105,beat,4-4,drummer1/eval_session/2_funk-groove2_105_beat_4-4.mid,drummer1/eval_session/2_funk-groove2_105_beat_4-4.wav,36.351218,test
drummer1,drummer1/eval_session,drummer1/eval_session/3,soul/groove3,86,beat,4-4,drummer1/eval_session/3_soul-groove3_86_beat_4-4.mid,drummer1/eval_session/3_soul-groove3_86_beat_4-4.wav,44.716543,test
drummer1,drummer1/eval_session,drummer1/eval_session/4,soul/groove4,80,beat,4-4,drummer1/eval_session/4_soul-groove4_80_beat_4-4.mid,drummer1/eval_session/4_soul-groove4_80_beat_4-4.wav,47.987500,test
drummer1,drummer1/eval_session,drummer1/eval_session/5,funk/groove5,84,beat,4-4,drummer1/eval_session/5_funk-groove5_84_beat_4-4.mid,drummer1/eval_session/5_funk-groove5_84_beat_4-4.wav,45.687518,test
drummer1,drummer1/eval_session,drummer1/eval_session/6,hiphop/groove6,87,beat,4-4,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.mid,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.wav,44.119242,test
drummer1,drummer1/eval_session,drummer1/eval_session/7,pop/groove7,138,beat,4-4,drummer1/eval_session/7_pop-groove7_138_beat_4-4.mid,drummer1/eval_session/7_pop-groove7_138_beat_4-4.wav,27.706547,test
drummer1,drummer1/eval_session,drummer1/eval_session/8,rock/groove8,65,beat,4-4,drummer1/eval_session/8_rock-groove8_65_beat_4-4.mid,drummer1/eval_session/8_rock-groove8_65_beat_4-4.wav,59.067313,test
drummer1,drummer1/eval_session,drummer1/eval_session/9,soul/groove9,105,beat,4-4,drummer1/eval_session/9_soul-groove9_105_beat_4-4.mid,drummer1/eval_session/9_soul-groove9_105_beat_4-4.wav,36.540504,test
drummer1,drummer1/session1,drummer1/session1/1,funk,80,beat,4-4,drummer1/session1/1_funk_80_beat_4-4.mid,drummer1/session1/1_funk_80_beat_4-4.wav,86.704688,train
drummer1,drummer1/session1,drummer1/session1/10,jazz/funk,116,fill,4-4,drummer1/session1/10_jazz-funk_116_fill_4-4.mid,drummer1/session1/10_jazz-funk_116_fill_4-4.wav,1.872843,train
drummer1,drummer1/session1,drummer1/session1/100,neworleans/secondline,94,beat,4-4,drummer1/session1/100_neworleans-secondline_94_beat_4-4.mid,drummer1/session1/100_neworleans-secondline_94_beat_4-4.wav,135.365719,train
drummer1,drummer1/session1,drummer1/session1/101,dance/disco,120,beat,4-4,drummer1/session1/101_dance-disco_120_beat_4-4.mid,drummer1/session1/101_dance-disco_120_beat_4-4.wav,207.572917,train
drummer1,drummer1/session1,drummer1/session1/102,funk,95,beat,4-4,drummer1/session1/102_funk_95_beat_4-4.mid,drummer1/session1/102_funk_95_beat_4-4.wav,224.807558,train
drummer1,drummer1/session1,drummer1/session1/103,funk,95,fill,4-4,drummer1/session1/103_funk_95_fill_4-4.mid,drummer1/session1/103_funk_95_fill_4-4.wav,2.134207,train
drummer1,drummer1/session1,drummer1/session1/104,funk,95,fill,4-4,drummer1/session1/104_funk_95_fill_4-4.mid,drummer1/session1/104_funk_95_fill_4-4.wav,1.974997,train
drummer1,drummer1/session1,drummer1/session1/105,funk,95,fill,4-4,drummer1/session1/105_funk_95_fill_4-4.mid,drummer1/session1/105_funk_95_fill_4-4.wav,4.646046,test
drummer1,drummer1/session1,drummer1/session1/106,funk,95,fill,4-4,drummer1/session1/106_funk_95_fill_4-4.mid,drummer1/session1/106_funk_95_fill_4-4.wav,4.481572,train
drummer1,drummer1/session1,drummer1/session1/107,funk,95,fill,4-4,drummer1/session1/107_funk_95_fill_4-4.mid,drummer1/session1/107_funk_95_fill_4-4.wav,1.960523,train
drummer1,drummer1/session1,drummer1/session1/108,funk,95,fill,4-4,drummer1/session1/108_funk_95_fill_4-4.mid,drummer1/session1/108_funk_95_fill_4-4.wav,2.161839,train
